2019-02-27 12:36:44,760 p=1075 u=root |  PLAY [Accel Install PlayBook] *******************************************************************************************************************************************************************************************************************************
2019-02-27 12:38:54,078 p=1075 u=root |  	to retry, use: --limit @/home/vilko/accel_ansible1/install.retry

2019-02-27 12:38:54,078 p=1075 u=root |  PLAY RECAP **************************************************************************************************************************************************************************************************************************************************
2019-02-27 12:38:54,078 p=1075 u=root |  localhost                  : ok=31   changed=0    unreachable=0    failed=1   
2019-03-02 02:57:42,319 p=1089 u=root |  PLAY [Accel Install PlayBook] ******************************************************************************************************************************************
2019-03-02 02:57:42,364 p=1089 u=root |  TASK [Gathering Facts] *************************************************************************************************************************************************
2019-03-02 02:57:47,675 p=1089 u=root |  ok: [localhost]
2019-03-02 02:57:47,708 p=1089 u=root |  TASK [mtr] *************************************************************************************************************************************************************
2019-03-02 02:57:48,326 p=1089 u=root |   [ERROR]: User interrupted execution

2019-03-02 02:58:07,891 p=1442 u=root |  PLAY [Accel Install PlayBook] ******************************************************************************************************************************************
2019-03-02 02:58:07,903 p=1442 u=root |  TASK [Gathering Facts] *************************************************************************************************************************************************
2019-03-02 02:58:11,435 p=1442 u=root |  ok: [localhost]
2019-03-02 02:58:11,464 p=1442 u=root |  TASK [Creates directory] ***********************************************************************************************************************************************
2019-03-02 02:58:11,757 p=1442 u=root |  ok: [localhost]
2019-03-02 02:58:11,785 p=1442 u=root |  TASK [Clone a repository] **********************************************************************************************************************************************
2019-03-02 02:58:12,169 p=1442 u=root |  fatal: [localhost]: FAILED! => {"changed": false, "cmd": "/usr/bin/git clone --origin origin https://github.com/xebd/accel-ppp.git /var/accel-ppp", "msg": "fatal: destination path '/var/accel-ppp' already exists and is not an empty directory.", "rc": 128, "stderr": "fatal: destination path '/var/accel-ppp' already exists and is not an empty directory.\n", "stderr_lines": ["fatal: destination path '/var/accel-ppp' already exists and is not an empty directory."], "stdout": "", "stdout_lines": []}
2019-03-02 02:58:12,173 p=1442 u=root |  	to retry, use: --limit @/home/vilko/accel_ansible/install.retry

2019-03-02 02:58:12,173 p=1442 u=root |  PLAY RECAP *************************************************************************************************************************************************************
2019-03-02 02:58:12,173 p=1442 u=root |  localhost                  : ok=2    changed=0    unreachable=0    failed=1   
2019-03-02 02:59:14,961 p=1808 u=root |  PLAY [Accel Install PlayBook] ******************************************************************************************************************************************
2019-03-02 02:59:14,975 p=1808 u=root |  TASK [Gathering Facts] *************************************************************************************************************************************************
2019-03-02 02:59:18,547 p=1808 u=root |  ok: [localhost]
2019-03-02 02:59:18,581 p=1808 u=root |  TASK [Creates directory] ***********************************************************************************************************************************************
2019-03-02 02:59:18,832 p=1808 u=root |  ok: [localhost]
2019-03-02 02:59:18,862 p=1808 u=root |  TASK [Clone a repository] **********************************************************************************************************************************************
2019-03-02 02:59:19,140 p=1808 u=root |  fatal: [localhost]: FAILED! => {"changed": false, "cmd": "/usr/bin/git clone --origin origin https://github.com/xebd/accel-ppp.git /var/accel-ppp", "msg": "fatal: destination path '/var/accel-ppp' already exists and is not an empty directory.", "rc": 128, "stderr": "fatal: destination path '/var/accel-ppp' already exists and is not an empty directory.\n", "stderr_lines": ["fatal: destination path '/var/accel-ppp' already exists and is not an empty directory."], "stdout": "", "stdout_lines": []}
2019-03-02 02:59:19,142 p=1808 u=root |  	to retry, use: --limit @/home/vilko/accel_ansible/install.retry

2019-03-02 02:59:19,142 p=1808 u=root |  PLAY RECAP *************************************************************************************************************************************************************
2019-03-02 02:59:19,142 p=1808 u=root |  localhost                  : ok=2    changed=0    unreachable=0    failed=1   
2019-03-02 03:00:25,506 p=2157 u=root |  PLAY [Accel Install PlayBook] ******************************************************************************************************************************************
2019-03-02 03:00:25,518 p=2157 u=root |  TASK [Gathering Facts] *************************************************************************************************************************************************
2019-03-02 03:00:29,154 p=2157 u=root |  ok: [localhost]
2019-03-02 03:00:29,184 p=2157 u=root |  TASK [Creates directory] ***********************************************************************************************************************************************
2019-03-02 03:00:29,435 p=2157 u=root |  ok: [localhost]
2019-03-02 03:00:29,468 p=2157 u=root |  TASK [Clone a repository] **********************************************************************************************************************************************
2019-03-02 03:00:29,740 p=2157 u=root |  fatal: [localhost]: FAILED! => {"changed": false, "cmd": "/usr/bin/git clone --origin origin https://github.com/xebd/accel-ppp.git /var/accel-ppp", "msg": "fatal: destination path '/var/accel-ppp' already exists and is not an empty directory.", "rc": 128, "stderr": "fatal: destination path '/var/accel-ppp' already exists and is not an empty directory.\n", "stderr_lines": ["fatal: destination path '/var/accel-ppp' already exists and is not an empty directory."], "stdout": "", "stdout_lines": []}
2019-03-02 03:00:29,742 p=2157 u=root |  	to retry, use: --limit @/home/vilko/accel_ansible/install.retry

2019-03-02 03:00:29,742 p=2157 u=root |  PLAY RECAP *************************************************************************************************************************************************************
2019-03-02 03:00:29,742 p=2157 u=root |  localhost                  : ok=2    changed=0    unreachable=0    failed=1   
2019-03-02 03:00:42,145 p=2483 u=root |  PLAY [Accel Install PlayBook] ******************************************************************************************************************************************
2019-03-02 03:00:42,157 p=2483 u=root |  TASK [Gathering Facts] *************************************************************************************************************************************************
2019-03-02 03:00:46,210 p=2483 u=root |  ok: [localhost]
2019-03-02 03:00:46,240 p=2483 u=root |  TASK [Creates directory] ***********************************************************************************************************************************************
2019-03-02 03:00:46,492 p=2483 u=root |  changed: [localhost]
2019-03-02 03:00:46,521 p=2483 u=root |  TASK [Clone a repository] **********************************************************************************************************************************************
2019-03-02 03:00:51,410 p=2483 u=root |  changed: [localhost]
2019-03-02 03:00:51,446 p=2483 u=root |  TASK [build] ***********************************************************************************************************************************************************
2019-03-02 03:00:53,439 p=2483 u=root |  changed: [localhost] => (item=cmake /var/accel-ppp -DKDIR=/usr/src/linux-headers-3.16.0-4-amd64 -DBUILD_DRIVER=FALSE -DRADIUS=TRUE -DNETSNMP=FALSE -DSHAPER=TRUE -DLOG_PGSQL=FALSE -DLUA=TRUE -DBUILD_IPOE_DRIVER=TRUE -DBUILD_VLAN_MON_DRIVER=TRUE -DCMAKE_INSTALL_PREFIX=/usr/local/src)
2019-03-02 03:01:10,623 p=2483 u=root |  changed: [localhost] => (item=make)
2019-03-02 03:01:12,322 p=2483 u=root |  changed: [localhost] => (item=make install)
2019-03-02 03:01:12,374 p=2483 u=root |  TASK [copy ipoe] *******************************************************************************************************************************************************
2019-03-02 03:01:12,943 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:12,971 p=2483 u=root |  TASK [copy vlan_mon] ***************************************************************************************************************************************************
2019-03-02 03:01:13,335 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:13,363 p=2483 u=root |  TASK [update depmod] ***************************************************************************************************************************************************
2019-03-02 03:01:21,074 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:21,102 p=2483 u=root |  TASK [add routing] *****************************************************************************************************************************************************
2019-03-02 03:01:21,365 p=2483 u=root |  ok: [localhost]
2019-03-02 03:01:21,407 p=2483 u=root |  TASK [add L4-Redirect] *************************************************************************************************************************************************
2019-03-02 03:01:21,533 p=2483 u=root |  ok: [localhost]
2019-03-02 03:01:21,561 p=2483 u=root |  TASK [copy accel-ppp.conf] *********************************************************************************************************************************************
2019-03-02 03:01:22,035 p=2483 u=root |  changed: [localhost]
2019-03-02 03:01:22,065 p=2483 u=root |  TASK [copy LUA script] *************************************************************************************************************************************************
2019-03-02 03:01:22,408 p=2483 u=root |  ok: [localhost]
2019-03-02 03:01:22,436 p=2483 u=root |  TASK [radius attributes] ***********************************************************************************************************************************************
2019-03-02 03:01:22,568 p=2483 u=root |  ok: [localhost] => (item=ATTRIBUTE DHCP-Router-IP-Address 241 ipaddr)
2019-03-02 03:01:22,675 p=2483 u=root |  ok: [localhost] => (item=ATTRIBUTE DHCP-Mask 242 integer)
2019-03-02 03:01:22,802 p=2483 u=root |  ok: [localhost] => (item=ATTRIBUTE L4-Redirect 243 integer)
2019-03-02 03:01:22,925 p=2483 u=root |  ok: [localhost] => (item=ATTRIBUTE L4-Redirect-ipset 244 string)
2019-03-02 03:01:23,061 p=2483 u=root |  ok: [localhost] => (item=ATTRIBUTE DHCP-Option82 245 octets)
2019-03-02 03:01:23,188 p=2483 u=root |  changed: [localhost] => (item=#ATTRIBUTE DHCP-Agent-Circuit-Id	1 octets)
2019-03-02 03:01:23,321 p=2483 u=root |  changed: [localhost] => (item=#ATTRIBUTE DHCP-Agent-Remote-Id	2 octets)
2019-03-02 03:01:23,449 p=2483 u=root |  ok: [localhost] => (item=ATTRIBUTE AccelRemoteId 246 octets)
2019-03-02 03:01:23,564 p=2483 u=root |  ok: [localhost] => (item=ATTRIBUTE AccelCircuitId 247 octets)
2019-03-02 03:01:23,677 p=2483 u=root |  ok: [localhost] => (item=#ATTRIBUTE DHCP-Attr-272 272 ipaddr)
2019-03-02 03:01:23,706 p=2483 u=root |  TASK [copy logrotate accel] ********************************************************************************************************************************************
2019-03-02 03:01:24,064 p=2483 u=root |  changed: [localhost]
